y_train,y_train_predict,y_test,y_test_predict
17.13,14.509192279264,18.3,17.61273581461714
13.0,17.751917789414023,12.8,9.593505679542368
11.5,10.4347333361656,18.4,16.378572270666375
21.9,21.9029572205894,11.2,11.108128370613876
15.2,17.948491071810707,18.4,14.866892756357167
12.600000000000001,11.45873010602002,3.9,10.956664648411042
19.36,17.9575261620233,15.8525,16.001152968996387
14.1,14.777481950748943,3.1,3.4987247306792426
19.0,18.427669087497947,22.63,20.342756736437963
12.9,12.3542433101384,10.3,8.818699371639724
9.5,8.573072460763733,19.35,19.198311838776895
14.0,14.574597016985244,10.5,8.957144510816015
16.4,16.53714506963069,15.56,15.447483399975852
15.6,13.643114459327926,0.1,6.4632435550647
14.9,15.11786398128418,3.6,7.30005714594693
6.5,8.583253642820893,13.3,7.739180288748621
2.5,11.909254987413242,13.24,14.208275571896849
4.8,4.83625819495083,12.4,12.091502535535646
20.52,19.63232203802726,6.5,5.014548018652867
13.4,11.575918879527471,13.49,13.44384778573356
1.6,8.301522122428132,6.5,10.506295350060263
8.946666666666667,10.073058037156017,12.81,15.874222975952016
14.6,11.592731492773275,15.1,16.43432863010934
14.7,8.916147183592926,14.3,14.643315310173584
18.5,18.18524728576594,7.4,7.919716986569192
4.5,7.72411674800599,10.7,8.747427254268615
17.7,16.11107500285828,14.166666666666666,16.100833732006542
18.8,18.341724730466176,12.5,10.085447515826608
7.8,9.529940314500237,21.2,17.16719949407306
12.1,12.883464160024168,15.59,10.180355030219772
14.89,13.664336005478702,8.9,9.56516593627196
8.2,8.711310402459212,21.83,22.523115736998072
12.5,9.838877411062576,14.15,14.026561389068029
13.53,15.175643537045147,19.1,16.959688691320565
20.39,19.151924000326375,7.0,10.511508264409649
14.2,12.717936020810775,16.5,16.44235565155904
8.07,6.406632990500185,10.5,11.217733468138185
16.5,13.545240908191708,13.9,12.921871002599964
14.0,15.398075383269706,21.42,20.8875845188063
3.5,9.542976970529871,17.85,15.865042126069959
10.2,11.49202200724715,9.05,10.916691099830842
4.06,7.534444344467175,15.2,14.29453216725954
16.6,12.839205053362349,12.2,15.166130648762355
8.9,10.737806159839401,23.35,20.149612253965046
9.1,6.453502246182261,17.39,16.62859099080537
12.421428571428573,10.981261771628787,12.6,14.125073569444105
21.09,17.601748553990483,22.22,20.69291619261525
12.4,7.666835123725768,12.3,14.723464324892738
3.2,5.944807007535864,10.0,9.756890993109145
16.1,18.06427342002428,14.7,12.97236699412695
14.0,11.665504845073592,11.8,11.176684630394611
14.3,12.563354258742748,11.9,11.73313729681302
13.1,8.300773135277204,11.9,9.595246180981057
23.44,18.79715594197259,4.1,7.298674307166884
7.6,6.9883278141295975,15.4,13.22605529959963
4.0,10.333841642892303,17.6,18.612007420791628
14.8,15.910291161343075,13.87,14.77681014189659
15.27,17.552072332297342,21.33,19.287970613281857
10.8,12.828202581046007,18.2,14.502118851139521
11.1,11.008814440749056,18.92,17.199281996443034
14.8,18.724563637066325,16.55,15.899166468009973
2.8,4.83625819495083,17.71,17.804695662203898
6.7,4.705280074929107,12.8,8.572433641150774
19.85,17.890558955245154,19.26,18.100433795824927
22.1,18.390533892040132,21.22,20.055096385657258
11.3,12.678948276922192,22.7,14.546577799074413
15.5,13.908212191347985,0.4,2.6005224752491642
15.7,16.37784007378903,14.5,11.740622637063943
14.25,12.971256920264004,13.9,11.53188812822571
21.4775,20.65057037613868,19.5,17.761148600487324
16.28,14.700450508465956,15.11,17.386330116134722
22.67,17.987054220575686,21.04,21.3692470999826
12.725,11.180024400495249,12.215555555555557,12.066269513898241
10.65,7.99169289008767,17.93,17.67824571577475
14.24,18.013587162918327,19.16,15.865042126069959
20.134999999999998,19.831830455188168,12.4,10.506295350060263
22.81,22.09360121111535,14.1,13.234344524693306
18.61,19.050765738200596,4.3,8.466752374048319
13.1,14.283050211670506,8.01923076923077,7.5223376114080835
7.9,11.840650078969865,8.7,9.593505679542368
7.0,7.674469611507703,17.98,14.030763698210052
8.0,11.868797932582567,14.9,11.979643305040035
6.8,10.345826334205896,16.66,21.88329615432994
8.1,10.4347333361656,11.3,9.593505679542368
17.71,18.16226004909217,6.266666666666667,10.632481046093908
19.0,19.183908230652463,10.7,11.186085262556098
10.85,11.626560554707048,16.5,12.076882254132244
12.85,9.62539724800493,18.5,17.095532761004137
16.41,14.998493652725386,20.3,17.36553318982191
20.08,19.12657005403284,18.0,13.064744326751615
23.39,20.740015027038446,11.2,14.26911229887667
6.8,7.132614233697751,5.8,8.612837579979832
20.1,17.303442321124514,16.2,12.166621297430474
5.4,8.451544141116692,9.1,10.33403183463809
14.1,11.107261775221723,22.4,20.266048455117236
15.5,14.316195065044603,10.6,8.102430749415298
9.1,10.921396715406154,10.3,11.705877474678736
6.2,6.326204115903039,9.7,9.323414616415839
20.86,20.254183473099822,16.35,17.626791153497095
3.9,5.4623016973603455,20.3,18.61633742069816
22.75,21.517017104595958,6.0,6.4870969061921
8.0,8.999523165790315,21.54,20.300230409571753
19.0,17.64279904797658,1.2,5.55036120499247
18.88,17.010573290537415,12.68,12.167746451129489
19.1,16.345302263224852,7.533333333333334,7.405374968799315
