y_train,y_train_predict,y_test,y_test_predict
17.13,17.225644558193515,18.3,13.07209353237734
13.0,15.691858374656283,12.8,10.717623515539085
11.5,10.692077347432665,18.4,15.28863794663149
21.9,21.398900358330287,11.2,14.607337792114606
15.2,15.87025962617246,18.4,13.987545116683545
12.600000000000001,11.648418466962891,3.9,7.476482367332391
19.36,18.476788301278603,15.8525,18.12491306479272
14.1,13.473563423327677,3.1,3.1132168285187043
19.0,18.97849754139119,22.63,21.94225893683467
12.9,13.42450739057237,10.3,7.254431171028041
9.5,9.26939108376097,19.35,18.809905140841398
14.0,13.951676793165497,10.5,10.291424597479876
16.4,16.697201394761144,15.56,13.636639034541558
15.6,14.883506426589665,0.1,8.041768830169252
14.9,14.774594591254816,3.6,11.131027408876689
6.5,7.526662694083161,13.3,8.669752737539119
2.5,9.564880930821388,13.24,16.787219494549387
4.8,4.973162367875177,12.4,15.025151995212568
20.52,20.452990198377865,6.5,6.032585663555192
13.4,12.797138381665702,13.49,6.876326200456961
1.6,5.182035833432943,6.5,13.395900849707086
8.946666666666667,8.623449450231465,12.81,16.709583256193774
14.6,14.604594291598294,15.1,16.461766251237577
14.7,11.412978585933743,14.3,13.76063997388266
18.5,17.476520988775256,7.4,6.997132801376859
4.5,6.753720902881835,10.7,13.120921809224551
17.7,16.04686351379871,14.166666666666666,14.332081241767296
18.8,17.249641803123946,12.5,11.360354302361042
7.8,9.33390039738038,21.2,19.397830028148142
12.1,11.71320805352727,15.59,11.169739132450509
14.89,14.382470289564191,8.9,10.39927843847703
8.2,9.671410027090921,21.83,21.464933955463547
12.5,10.758383557973444,14.15,13.24731956938774
13.53,14.707213974116206,19.1,18.94075895032165
20.39,18.915136892853585,7.0,10.190872895852488
14.2,13.85701878806583,16.5,17.47212932210859
8.07,8.251303098043147,10.5,14.033697761369622
16.5,14.139659655290952,13.9,12.733514294735262
14.0,14.926286999929284,21.42,20.930748372474554
3.5,7.167674254654695,17.85,13.388054384154021
10.2,10.490672903354016,9.05,9.890477303616496
4.06,6.879422653816099,15.2,12.542891507786198
16.6,15.678497944153067,12.2,10.110872999157683
8.9,10.213039164115145,23.35,20.060041507498628
9.1,7.209457823322515,17.39,14.585965451388923
12.421428571428573,12.862106146155117,12.6,15.107463510461772
21.09,19.16046768037517,22.22,21.526040212030924
12.4,9.758960530861918,12.3,13.766309054726698
3.2,5.173265036395716,10.0,11.29949402709902
16.1,15.565459416035361,14.7,14.432725220463578
14.0,11.490999545979491,11.8,11.484292944940494
14.3,16.12202050347218,11.9,15.72495149493785
13.1,10.943964075847555,11.9,11.69918216628109
23.44,21.011894001495016,4.1,6.291008198675813
7.6,8.284093864687602,15.4,14.414527413845164
4.0,7.743300528720329,17.6,17.557207940370986
14.8,15.46714430555553,13.87,13.58696758860933
15.27,12.71562374259516,21.33,17.331748682133814
10.8,13.492258802536433,18.2,16.518986386654245
11.1,12.06065653369216,18.92,17.48885718411798
14.8,16.5911866326659,16.55,16.51182866050871
2.8,4.949368320256128,17.71,15.727558270632176
6.7,6.529362987914874,12.8,11.130667145186942
19.85,19.017636835598026,19.26,17.920213728778187
22.1,19.188108164502186,21.22,19.447701511293097
11.3,9.492898897535808,22.7,16.373837148569038
15.5,15.149235018187854,0.4,4.251149171025731
15.7,16.71124988290647,14.5,11.329572430880464
14.25,13.622995051709202,13.9,11.932330503497584
21.4775,20.843012933260578,19.5,15.056587634570281
16.28,13.252699422498821,15.11,17.373329767496408
22.67,21.508970980887725,21.04,19.362929394521718
12.725,11.841858575575039,12.215555555555557,12.282882580435292
10.65,10.157099155823088,17.93,18.790054505376666
14.24,16.407875270111802,19.16,13.342487419868306
20.134999999999998,20.598746005366188,12.4,13.383231405262642
22.81,22.873962797619065,14.1,12.128687917556933
18.61,19.014906263888882,4.3,10.021257518668829
13.1,11.989986099572935,8.01923076923077,8.03403680878062
7.9,11.50977144172255,8.7,9.470124119248801
7.0,6.880690628607511,17.98,17.101898489718614
8.0,10.210448485690115,14.9,13.296993741894411
6.8,9.46188466358045,16.66,21.716474182165058
8.1,10.189458488305682,11.3,10.76864963782744
17.71,18.60178847781282,6.266666666666667,8.279344851560472
19.0,19.330809777048565,10.7,11.38681167081477
10.85,11.032534358949713,16.5,13.399154695015643
12.85,12.452853265241712,18.5,17.439745133180512
16.41,14.042946139575397,20.3,17.632117155309984
20.08,20.459387359320832,18.0,13.001513065762133
23.39,22.769330225490947,11.2,14.525683816094444
6.8,9.526752237452722,5.8,6.914499909164905
20.1,19.002864458573345,16.2,14.982159228239702
5.4,7.9830408552385,9.1,10.902414580154039
14.1,13.515240790283338,22.4,20.930488619758627
15.5,12.836589193197849,10.6,9.4750544585694
9.1,9.894588884785957,10.3,11.523063545188785
6.2,6.146681191378078,9.7,8.575979772085546
20.86,19.68463573482019,16.35,17.425578998980875
3.9,6.075765276575278,20.3,19.459503644238865
22.75,22.038626466769088,6.0,4.872045366913171
