ETL,ETL-2,Perovskite,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,PCEbest,Cs,MA,FA,Rb,Pb,Sn,I,Br,Cl,Bandgap
SnO2,C60,Cs0.31FA0.69Pb(I0.94Br0.06)3,one-step,spin2-3,chlorobenzene,DMF+DMSO,NiO,0,0,0,0,0,15.5,0.31,0,0.69,0,1,0,0.94,0.06,0,1.563511429
SnO2,no,CsPbI2Br,one-step,spin,no,DMSO,P3HT,0,0,0,0,0,15.5,1,0,0,0,1,0,0.666666667,0.333333333,0,1.888929762
ZnO,PCBA,MAPbI3,one-step,spin,no,DMF+HP,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.5,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,15.5,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,diethylether,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.5,0,1,0,0,1,0,1,0,0,1.530113848
TiO2-La,mTiO2,MAPbI3,two-step,spin-spray,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.5,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.5,0,1,0,0,1,0,1,0,0,1.530113848
ZnO-PEG,no,MAPbI3,two-step,spin-spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.5,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.5,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,na,NiOx,0,0,0,0,0,15.5,0,1,0,0,1,0,1,0,0,1.530113848
C60,BCP,MAPbI3,one-step,spin,chlorobenzene,DMF,PEDOT:PSS-ammonia,0,0,0,0,Cl,15.5,0,1,0,0,1,0,1,0,0,1.530113848
UV-Nb-TiO2,no,MAPbI3,one-step,spin,diethylether,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.5,0,1,0,0,1,0,1,0,0,1.530113848
ZnO,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.5,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,TiO2-na0rod,MAPbI3,two-step,spin-spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.5,0,1,0,0,1,0,1,0,0,1.530113848
ZnO,no,MAPbI3,one-step,spin,ethylether,DMF+DMSO,MWCNTs,0,PEI,0,0,0,15.56,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,CsPbI3,two-step,spin-spin,no,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,PbAc2,0,15.56,1,0,0,0,1,0,1,0,0,1.686142745
SnO2,no,CsPbI2Br,one-step,spin,no,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,BTSTh,0,15.58,1,0,0,0,1,0,0.666666667,0.333333333,0,1.888929762
SnO2,no,MAPb0.948Cs0.052(I0.948Br0.052)3,one-step,spin,no,DMF+DMSO,no,0,0,0,0,0,15.59,0.052,0.948,0,0,1,0,0.948,0.052,0,1.572068657
cTiO2,mTiO2,MAPbI3,two-step,spin-dip,no,DMF+Li,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,15.6,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,diethylether,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,15.6,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF+DMSO,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,15.6,0,1,0,0,1,0,1,0,0,1.530113848
PCBM+C60,no,MAPbI3,one-step,spin,chlorobenzene,DMF+DMSO,NiOx,0,0,0,0,0,15.6,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin2-3,no,DMF,PEDOT:PSS-Na,0,0,0,0,0,15.6,0,1,0,0,1,0,1,0,0,1.530113848
