ETL,ETL-2,Perovskite,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,PCEbest,Cs,MA,FA,Rb,Pb,Sn,I,Br,Cl,Bandgap
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,no,0,0,0,0,0,0.1,0,1,0,0,1,0,1,0,0,1.530113848
Nb2O5,no,FA0.85MA0.15Pb(I0.85Br0.15)3,one-step,spin2-3,chlorobenzene,DMF+DMSO,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,0.1,0,0.15,0.85,0,1,0,0.85,0.15,0,1.627176705
TiO2,no,MAPbI3,two-step,spin-dip,no,DMF+DMSO,CuSCN,0,0,0,0,0,0.1,0,1,0,0,1,0,1,0,0,1.530113848
no,no,MAPbI3,one-step,spin,no,DMF,PEDOT:PSS,0,0,0,0,Cl,0.1,0,1,0,0,1,0,1,0,0,1.530113848
no,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,no,0,0,0,0,0,0.1,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,BCP,MAPbI3,one-step,spin,no,DMF,no,0,0,0,0,0,0.1,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin2-3,no,GBL,NiOx,0,0,0,0,0,0.1,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,TiO2,MASnI3,one-step,spin,diethylether,DMF+DMSO,PTAA,0,0,0,0,0,0.11,0,1,0,0,0,1,1,0,0,1.259715
cTiO2,mTiO2,MAPbI3,one-step,spin,chlorobenzene,DMF,no,0,0,0,0,0,0.2,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,FAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,0.2,0,0,1,0,1,0,1,0,0,1.50607803
ZnO,no,MAPbI3,two-step,spin-dip,no,DMF,no,0,0,0,0,0,0.3,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-spin,no,DMF,no,0,0,0,0,0,0.3,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,no,0,0,0,0,0,0.3,0,1,0,0,1,0,1,0,0,1.530113848
no,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,0.3,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,DMF,PEDOT:PSS,0,0,0,0,Cl,0.3,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3,MAPbBr3,one-step,spin2-3,no,DMF,CBP,Li+TBP,0,0,0,0,0.4,0,1,0,0,1,0,0,1,0,2.275418182
TiO2,no,MAPbBr3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,0.4,0,1,0,0,1,0,0,1,0,2.275418182
C60,BCP,MASnI3,one-step,CVD,no,na,PEDOT:PSS,0,0,0,0,0,0.5,0,1,0,0,0,1,1,0,0,1.259715
cTiO2,mTiO2,MAPbBr3,one-step,spin,no,DMF,PDI,0,0,0,0,0,0.5,0,1,0,0,1,0,0,1,0,2.275418182
TiO2,mAl2O3,MAPbBr3,one-step,spin,no,DMF,P3HT,0,0,0,0,0,0.5,0,1,0,0,1,0,0,1,0,2.275418182
cTiO2,mTiO2,FAPbI3,one-step,spin,no,DMF+NH4Cl,Spiro-OMeTAD,Li+TBP,0,0,0,0,0.6,0,0,1,0,1,0,1,0,0,1.50607803
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,PCPDTBT,0,0,0,0,Cl,0.6,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3,MAPbBr3,one-step,spin,no,DMF,PDI,0,0,0,0,0,0.6,0,1,0,0,1,0,0,1,0,2.275418182
no,no,MAPbI3,two-step,spin-spin,no,DMF,PEDOT:PSS,0,0,0,0,0,0.7,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3,MAPbBr3,one-step,spin,no,DMF,PCBM,0,0,0,0,0,0.7,0,1,0,0,1,0,0,1,0,2.275418182
TiO2,mAl2O3,MAPbBr3,one-step,spin,no,DMF,TPD,0,0,0,0,0,0.7,0,1,0,0,1,0,0,1,0,2.275418182
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,no,0,0,0,0,0,0.8,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbBr3,one-step,spin,no,GBL,P3HT,0,0,0,0,0,0.8,0,1,0,0,1,0,0,1,0,2.275418182
C60,BCP,MAPbI3,one-step,electrospray,no,DMF,PEDOT:PSS,0,0,0,0,0,0.9,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,no,0,0,0,0,0,0.9,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,CsSnBr3,one-step,spin,no,DMSO+SnF2,Spiro-OMeTAD,Li+TBP,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2.167431818
no,CdS-na0rod,MAPbI3,one-step,spin,no,GBL,P3HT,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1.530113848
ZnS,no,MAPbI3,one-step,spin,toluene,DMSO+GBL,Spiro-OMeTAD,Li+TBP,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3,CsPbI3,two-step,spin-dip,no,DMF,no,0,0,0,0,0,1.1,1,0,0,0,1,0,1,0,0,1.686142745
TiO2,no,MAPbI3,one-step,spin,no,DMF,CuI,0,0,0,0,0,1.1,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,no,0,0,0,0,0,1.1,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,1.2,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin2-3,chlorobenzene,DMF+DMSO,no,0,0,0,0,0,1.2,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,Ba,MAPb(I0.4Br0.6)3,two-step,CVD,no,na,PEDOT:PSS,polyTPD,0,0,0,0,1.2,0,1,0,0,1,0,0.4,0.6,0,1.843946429
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,PFO,Li+TBP,0,0,0,0,1.2,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,DMF,NiOx,0,0,0,0,Cl,1.3,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,ZnO-na0column,MAPbI3,two-step,spin-dip,no,DMF,PTAA,Li+TBP,0,0,0,0,1.3,0,1,0,0,1,0,1,0,0,1.530113848
no,mTiO2,MAPbI3,one-step,spin,no,GBL,P3HT,Li+TBP,0,0,0,0,1.3,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbBr3,one-step,spin,no,DMF+HBr,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,0,1.4,0,1,0,0,1,0,0,1,0,2.275418182
PCBM,no,FAPbI3,two-step,spin-print,no,DMF,PEDOT:PSS,0,0,0,0,0,1.4,0,0,1,0,1,0,1,0,0,1.50607803
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,no,0,0,0,0,0,1.4,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbBr3,one-step,spin,no,GBL,Spiro-OMeTAD,Li+TBP,0,0,0,0,1.4,0,1,0,0,1,0,0,1,0,2.275418182
CdS,mAl2O3,MAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,1.5,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin2-3,no,GBL,NiOx,mNiOx,0,0,0,0,1.5,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,two-step,spin-spin,no,DMF,no,0,0,0,0,0,1.6,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,1.6,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,PFO,Li+TBP,0,0,0,0,1.6,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,DEH,Li+TBP,0,0,0,0,1.6,0,1,0,0,1,0,1,0,0,1.530113848
C60,BCP,MASnI3,one-step,CVD,no,na,PEDOT:PSS,polyTPD,0,0,0,0,1.7,0,1,0,0,0,1,1,0,0,1.259715
cTiO2,mTiO2,CsSnI3,one-step,spin,no,DMSO+SnF2,Spiro-OMeTAD,Li+TBP,0,0,0,0,1.7,1,0,0,0,0,1,1,0,0,1.27276
cTiO2,mTiO2,MAPbBr3,two-step,spin-dip,no,DMF,no,0,0,0,0,0,1.7,0,1,0,0,1,0,0,1,0,2.275418182
cTiO2,mTiO2,MAPbI3,one-step,spin,diethylether,DMF+DMSO,no,0,0,0,0,0,1.8,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,CsSnI2.9Br0.1,one-step,spin,no,DMSO+SnF2,Spiro-OMeTAD,Li+TBP,0,0,0,0,1.8,1,0,0,0,0,1,0.966666667,0.033333333,0,1.277085
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,CuSCN,0,0,0,0,0,1.8,0,1,0,0,1,0,1,0,0,1.530113848
ZnO,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,no,0,0,0,0,0,1.8,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,1.8,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3,CsPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,1.9,1,0,0,0,1,0,1,0,0,1.686142745
PCBM,no,MAPbI3,one-step,spin,0,DMF,PEDOT:PSS,0,0,0,0,0,1.9,0,1,0,0,1,0,1,0,0,1.530113848
no,mTiO2,MAPbI3,one-step,spin,no,DMF,P3HT,Li+TBP,0,0,0,0,1.9,0,1,0,0,1,0,1,0,0,1.530113848
C60,BCP,MAPbI3,one-step,spin,no,GBL,PEDOT:PSS,0,0,0,0,0,1.9,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,DMF,PEDOT:PSS,0,0,0,0,Cl,1.9,0,1,0,0,1,0,1,0,0,1.530113848
asg-ZnO,no,MAPbI3,one-step,spin,diethylether,DMF+DMSO,Spiro-OMeTAD,Li+TBP+FK209,0,0,0,Cl,1.98,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,two-step,spin-spin,no,DMF,PEDOT:PSS,0,0,0,0,0,2.1,0,1,0,0,1,0,1,0,0,1.530113848
C60,BCP,MAPbI3,one-step,spin,no,DMF,PEDOT:PSS,0,0,0,0,0,2.1,0,1,0,0,1,0,1,0,0,1.530113848
no,mTiO2,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,2.2,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,GBL,Spiro-OMeTAD,Li+TBP,0,0,0,0,2.3,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,2.4,0,1,0,0,1,0,1,0,0,1.530113848
ZnO,no,MAPbI3,one-step,spin,no,DMF,PEDOT:PSS,0,0,0,0,Cl,2.4,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,CsPbBr2.9I0.1,two-step,spin-dip,no,DMF,P3HT,0,0,0,0,0,2.5,1,0,0,0,1,0,0.033333333,0.966666667,0,2.263672727
C60,BCP,MASnI3,one-step,spin,toluene,DMF,PEDOT:PSS,0,0,0,0,0,2.5,0,1,0,0,0,1,1,0,0,1.259715
PCBM,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,2.5,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,Ba,MAPb(I0.6Br0.4)3,two-step,CVD,no,na,PEDOT:PSS,polyTPD,0,0,0,0,2.5,0,1,0,0,1,0,0.6,0.4,0,1.818679762
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,no,GBL,no,0,0,0,0,0,2.5,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,chlorobenzene,DMF,no,0,0,0,0,0,2.6,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,Ca,MAPbI3,one-step,spin,toluene,DMF,PEDOT:PSS,0,0,0,0,0,2.6,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,ZnO,MAPbI3,one-step,spin,no,DMF,no,0,0,0,0,Cl,2.6,0,1,0,0,1,0,1,0,0,1.530113848
no,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,2.7,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,DMF,PEDOT:PSS,0,0,0,0,Cl,2.7,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,no,0,0,0,0,0,2.7,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,FASnI3,one-step,spin2-3,toluene,DMF+DMSO+SnF2,Spiro-OMeTAD,lutidiene+TBP,0,0,0,0,2.8,0,0,1,0,0,1,1,0,0,1.328415
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,0,0,0,0,Cl,2.8,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,ZnO,MAPbI3,two-step,spin-spin,no,DMF,PEDOT:PSS,0,0,0,0,0,2.8,0,1,0,0,1,0,1,0,0,1.530113848
ZnO,no,MAPbI3,two-step,spin-spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,2.9,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,CsPbBr3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,3,1,0,0,0,1,0,0,1,0,2.263672727
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,no,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,1.530113848
C60,BCP,MAPbI3,one-step,spin,no,GBL,PEDOT:PSS,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbBr3,one-step,spin,no,GBL,PCBTDPP,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,2.275418182
cTiO2,mTiO2,CsPbBr3,two-step,spin-dip,no,DMF,P3HT,0,0,0,0,0,3.1,1,0,0,0,1,0,0,1,0,2.263672727
ZnO,no,MAPbI3,two-step,spin-spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,3.1,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,chlorobenzene,DMF,no,0,0,0,0,0,3.1,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,3.1,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,TiO2-na0rod,MAPbI3,one-step,spin2-3,no,GBL,P3HT,Li+TBP,0,0,0,0,3.1,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,BCP,MAPbI3,one-step,spin,no,GBL,PEDOT:PSS,0,0,0,0,0,3.1,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,3.1,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,chlorobenzene,DMF+DMSO,no,0,0,0,0,0,3.2,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMSO+SnF2,no,0,0,0,0,0,3.2,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,mAl2O3,MAPbI3,one-step,spin2-3,no,GBL,PTAA,Li+TBP,0,0,0,0,3.2,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-dip,no,DMF,TPD,0,0,0,0,Cl,3.2,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,P3HT,Li+TBP,0,0,0,0,3.2,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,no,0,0,0,0,0,3.3,0,1,0,0,1,0,1,0,0,1.530113848
ZnO,ZnO-na0rod,MAPbI3,one-step,spin,toluene,DMF,P3HT,0,0,0,0,0,3.4,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,vasp,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,3.4,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-dip,no,DMF,no,0,0,0,0,Cl,3.4,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,two-step,spin-spin,no,DMF,PEDOT:PSS,0,0,0,0,0,3.4,0,1,0,0,1,0,1,0,0,1.530113848
PCBM+C60,no,MAPbI3,one-step,spin2-3,no,DMF+DIO,PEDOT:PSS,0,0,0,0,0,3.4,0,1,0,0,1,0,1,0,0,1.530113848
ICBA,BCP,MAPbI3,one-step,spin,no,GBL,PEDOT:PSS,0,0,0,0,0,3.4,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,DMF+DMSO,no,0,0,0,0,0,3.5,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-dip,no,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,3.5,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbBr3,two-step,vasp,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,3.5,0,1,0,0,1,0,0,1,0,2.275418182
TiO2,no,MAPbI3,one-step,spin,no,GBL,no,0,0,0,0,0,3.5,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,no,0,0,0,0,Cl,3.5,0,1,0,0,1,0,1,0,0,1.530113848
C60,BCP,FA0.75MA0.25SnI3,one-step,spin,toluene,DMF+DMSO,PEDOT:PSS,0,0,0,0,0,3.6,0,0.25,0.75,0,0,1,1,0,0,1.31846
PCBM,BCP,MAPbI3,one-step,spin2-3,toluene,GBL,NiOx,0,0,0,0,0,3.6,0,1,0,0,1,0,1,0,0,1.530113848
no,no,MAPbI3,one-step,spin,toluene,DMSO+GBL,Spiro-OMeTAD,Li+TBP,0,0,0,0,3.6,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,vasp,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,3.6,0,1,0,0,1,0,1,0,0,1.530113848
PCBM+C60,no,MAPb(I0.8Br0.2)3,one-step,spin2-3,no,DMF+DIO,PEDOT:PSS,0,0,0,0,0,3.6,0,1,0,0,1,0,0.8,0.2,0,1.740169286
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,PbSQDs,0,0,0,0,0,3.6,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,two-step,spin-spin,no,DMF,PEDOT:PSS,0,0,0,0,0,3.7,0,1,0,0,1,0,1,0,0,1.530113848
PCBM+C60,no,MAPb(I0.6Br0.4)3,one-step,spin2-3,no,DMF+DIO,PEDOT:PSS,0,0,0,0,0,3.7,0,1,0,0,1,0,0.6,0.4,0,1.818679762
no,mAl2O3,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,3.7,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-dip,no,DMF,DR3TBDTT,Li+TBP,0,0,0,Cl,3.7,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MASn0.75Pb0.25I3,one-step,spin,no,DMF,Spiro-OMeTAD,"Li+2,6lutidiene",0,0,0,0,3.7,0,1,0,0,0.25,0.75,1,0,0,1.22266
cTiO2,mTiO2,FAPbI3,one-step,spin,no,DMF,P3HT,0,0,0,0,0,3.7,0,0,1,0,1,0,1,0,0,1.50607803
TiO2,no,MAPbI3,one-step,spin2-3,chlorobenzene,DMSO+GBL,YKP02,0,0,0,0,0,3.75,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,3.8,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,3.8,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,no,0,0,0,0,0,3.8,0,1,0,0,1,0,1,0,0,1.530113848
PCBM+C60,no,MAPbI3,one-step,spin,no,DMF+GBL,PEDOT:PSS,0,0,0,0,0,3.8,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,P3HT,0,0,0,0,Cl,3.8,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,DMF,P3DDT,0,0,0,0,Cl,3.9,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,FAPbI3,two-step,spin-dip,no,DMF,no,0,0,0,0,0,3.9,0,0,1,0,1,0,1,0,0,1.50607803
PCBM,BCP,MAPbI3,one-step,spin,no,DMF,PEDOT:PSS,0,0,0,0,0,3.9,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,BCP,MAPbI3,one-step,spin,no,GBL,PEDOT:PSS,0,0,0,0,0,3.9,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,CsPbBr2.9I0.1,two-step,spin-dip,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,4,1,0,0,0,1,0,0.033333333,0.966666667,0,2.263672727
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,Cu2O,0,0,0,0,Cl,4,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,FAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,4,0,0,1,0,1,0,1,0,0,1.50607803
PCBM,BCP,MAPbI3,one-step,spin,no,DMF+CHP,GO,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,two-step,spin-dip,no,na,Spiro-OMeTAD,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,CsPbIBr2,one-step,spin,no,DMSO,no,0,0,0,0,0,4.06,1,0,0,0,1,0,0.333333333,0.666666667,0,1.907448485
TiO2,no,MAPbI3,two-step,vasp,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,4.1,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,GBL,PEDOT:PSS,0,0,0,0,0,4.1,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbBr3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,4.1,0,1,0,0,1,0,0,1,0,2.275418182
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,P3HT,Li+TBP,0,0,0,0,4.1,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,BCP,MAPbI3,two-step,spin-dip,no,DMF+CHP,PEDOT:PSS,0,0,0,0,0,4.2,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,Mg-TiO2-na0rod,MAPbI3,one-step,spin2-3,no,GBL,P3HT,Li+TBP,0,0,0,0,4.2,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,P3HT,0,0,0,0,0,4.2,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,no,GBL,PCDTBT,0,0,0,0,0,4.2,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,S@STiO2,MAPbI3,one-step,spin,no,GBL,no,0,0,0,0,0,4.3,0,1,0,0,1,0,1,0,0,1.530113848
ZnO,ZnO-na0rod,MAPbI3,two-step,spin-dip,no,DMF+DMSO,Spiro-OMeTAD,Li+TBP,0,0,0,0,4.3,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,4.3,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,TiO2-na0wire,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,4.3,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,PCDTBT,0,0,0,0,0,4.4,0,1,0,0,1,0,1,0,0,1.530113848
TiO2,no,MAPbI3,two-step,spin-spin,no,DMF,no,0,0,0,0,0,4.4,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,no,0,0,0,0,0,4.4,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,na,no,0,0,0,0,Cl,4.4,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,TTF-1,Li+TBP,0,0,0,0,4.4,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,TiO2,CsPbI3,one-step,spin2-3,no,DMF+others,Spiro-OMeTAD,Li+TBP,0,0,0,0,4.5,1,0,0,0,1,0,1,0,0,1.686142745
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,HBZ-7no,0,0,0,0,0,4.5,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,Cl,4.5,0,1,0,0,1,0,1,0,0,1.530113848
PCBM,no,MAPbI3,one-step,spin,no,DMF,PEDOT:PSS,0,0,0,0,Cl,4.5,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MASnBr3,one-step,spin,no,DMF,Spiro-OMeTAD,"Li+2,6lutidiene",0,0,0,0,4.5,0,1,0,0,0,1,0,1,0,2.169409091
cTiO2,mTiO2,MAPbI3,one-step,spin,no,GBL,P3HT,Li+TBP,0,0,0,0,4.5,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,chlorobenzene,DMF+DMSO,Ph-TPM,Li+TBP,0,0,0,0,4.6,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,two-step,spin-dip,no,DMF,no,0,0,0,0,0,4.6,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,no,DMF,Spiro-OMeTAD,Li+TBP,0,0,0,0,4.6,0,1,0,0,1,0,1,0,0,1.530113848
cTiO2,mTiO2,MAPbI3,one-step,spin2-3,toluene,DMF+GBL,PF8-TAA,Li+TBP,0,0,0,0,4.6,0,1,0,0,1,0,1,0,0,1.530113848
