ETL,ETL-2,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,Cs,MA,FA,Rb,Pb,Sn,I,Br,Bandgap,PCEbest
71,13,0,23,30,86,138,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,21.09
92,105,1,29,30,75,112,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.4
133,87,0,23,30,74,237,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,3.2
83,105,1,33,30,18,185,25,0,0,38,0,0.05,0.41,0.54,0.0,1.0,0.0,0.98,0.02,1.577742554,16.1
53,8,1,33,30,2,217,1,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.0
92,105,0,23,20,26,179,25,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,14.3
92,83,1,17,30,2,237,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.1
133,87,0,23,20,14,179,34,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,23.44
133,87,1,30,30,2,237,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,7.6
133,87,1,29,30,85,179,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,4.0
78,40,0,35,5,64,179,33,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.8
23,105,0,35,5,14,179,25,0,0,1,0,0.0,0.15,0.85,0.0,1.0,0.0,0.85,0.15,1.627176705,15.27
53,22,0,23,30,31,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.8
53,52,0,23,30,2,113,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.1
78,13,0,35,5,14,82,0,0,0,1,0,0.1,0.0,0.9,0.0,1.0,0.0,0.94,0.06,1.516596667,14.8
133,87,0,35,32,24,179,52,0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.328415,2.8
133,87,0,35,32,28,130,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.275418182,6.7
97,87,0,23,5,14,179,25,0,0,1,0,0.05,0.1615,0.7885,0.0,1.0,0.0,0.83,0.17,1.629287024,19.85
6,13,1,33,30,84,143,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,22.1
119,105,0,23,32,64,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.3
92,105,0,35,5,2,179,25,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,15.5
92,105,0,35,20,64,179,33,0,0,1,1,0.0,0.4,0.6,0.0,1.0,0.0,1.0,0.0,1.571951249,15.7
92,105,0,23,30,64,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.25
92,105,0,23,5,14,179,25,0,0,53,0,0.07,0.03,0.9,0.0,1.0,0.0,0.92,0.08,1.562435714,21.4775
53,105,0,35,32,77,113,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.28
78,105,0,35,5,14,179,34,0,0,1,1,0.0,0.15,0.85,0.0,1.0,0.0,1.0,0.0,1.603662527,22.67
133,87,1,29,30,2,179,33,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.725
138,105,1,29,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.65
10,40,0,23,5,14,83,0,0,0,82,1,0.0,0.4,0.6,0.0,1.0,0.0,1.0,0.0,1.571951249,14.24
78,105,0,35,27,14,180,25,22,0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,20.134999999999998
133,87,0,35,5,14,176,25,0,68,1,0,0.05,0.1,0.85,0.0,1.0,0.0,0.966666667,0.033333333,1.53883,22.81
10,40,0,23,5,14,138,0,0,0,82,1,0.0,0.4,0.6,0.0,1.0,0.0,0.6,0.0,1.646168333,18.61
113,105,0,23,30,78,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.1
53,105,1,14,30,85,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,7.9
133,87,0,23,30,44,179,25,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,7.0
133,96,1,29,30,2,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.0
92,105,0,23,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.95,0.05,1.572768015,6.8
133,87,0,35,5,2,22,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.1
90,105,0,23,5,14,179,25,0,0,1,0,0.04,0.14,0.82,0.0,1.0,0.0,0.86,0.14,1.597603957,17.71
92,105,0,23,20,14,179,25,0,0,1,0,0.1,0.0,0.9,0.0,1.0,0.0,1.0,0.0,1.513616667,19.0
92,105,1,38,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.85
138,105,1,33,30,85,179,0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,12.85
128,105,0,35,20,14,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.41
54,105,1,33,30,14,71,0,0,0,1,0,0.025,0.5,0.475,0.0,0.5,0.5,0.975,0.025,1.234413333,20.08
6,16,0,35,5,14,75,0,0,0,1,0,0.05,0.05,0.85,0.05,1.0,0.0,0.95,0.05,1.533193333,23.39
133,87,1,29,30,14,179,34,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.238518182,6.8
92,37,0,23,5,14,179,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,20.1
133,87,1,33,30,2,48,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,5.4
53,105,0,23,30,2,123,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.1
98,87,1,34,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.5
92,105,0,23,30,2,92,8,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,9.1
92,105,0,35,32,64,237,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.275418182,6.2
6,13,0,23,32,14,138,3,0,0,1,0,0.05,0.1,0.8,0.05,1.0,0.0,0.95,0.05,1.540863333,20.86
133,87,1,29,30,2,237,0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,3.9
78,105,0,23,20,49,179,25,0,0,5,1,0.05,0.0,0.95,0.0,1.0,0.0,1.0,0.0,1.518583333,22.75
119,74,1,33,30,2,92,21,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.0
133,98,0,35,5,14,179,34,0,0,1,0,0.08,0.12,0.8,0.0,1.0,0.0,0.88,0.12,1.600020168,19.0
78,105,0,35,25,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.88
92,105,0,23,30,14,179,25,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.95,0.05,1.687234835,19.1
133,53,0,2,30,86,179,25,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,6.3
78,70,0,23,5,14,179,34,0,0,97,0,0.05,0.0,0.95,0.0,1.0,0.0,1.0,0.0,1.518583333,22.2
53,51,0,23,30,13,113,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,19.1
53,10,1,0,30,85,113,58,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.9,0.1,1.699584431,10.8
92,105,0,6,30,2,92,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.275418182,10.2
49,105,0,23,5,14,100,57,0,0,44,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.28
78,105,0,35,5,14,179,25,0,3,1,0,0.17,0.0,0.83,0.0,1.0,0.0,0.6,0.4,1.695830952,13.866666666666667
6,13,0,35,32,14,196,0,0,0,1,0,0.05,0.12,0.83,0.0,1.0,0.0,0.85,0.15,1.607323828,20.795
78,105,0,35,5,14,179,34,0,0,1,0,0.0,0.13,0.87,0.0,1.0,0.0,0.87,0.13,1.613063247,19.43
78,105,0,23,30,14,179,25,0,0,83,0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.333333333,1.888929762,14.04
133,62,1,33,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.2
133,95,0,35,5,14,179,25,32,73,1,0,0.07,0.135,0.765,0.03,1.0,0.0,0.85,0.15,1.582988838,22.77
133,87,0,35,5,14,179,30,0,0,1,0,0.0,0.15,0.85,0.0,1.0,0.0,0.85,0.15,1.627176705,18.5
53,8,0,35,32,2,83,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,5.1
10,40,0,23,5,14,76,0,0,0,82,1,0.0,0.4,0.6,0.0,1.0,0.0,1.0,0.0,1.571951249,21.48
133,57,0,35,5,63,179,33,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.1
15,105,0,35,5,14,138,0,0,0,1,1,0.05,0.019,0.931,0.0,1.0,0.0,0.98,0.02,1.53205,20.09
10,8,0,23,30,27,237,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,20.2
53,8,0,23,32,64,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.75
78,105,0,35,20,14,179,25,0,0,1,0,0.05,0.15,0.8,0.0,1.0,0.0,0.8361,0.1639,1.605675184,19.32
138,20,0,23,30,75,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.4
133,53,0,23,32,64,179,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.7
92,49,0,35,20,14,179,25,0,0,76,1,0.0,0.05,0.95,0.0,1.0,0.0,0.95,0.05,1.51483,21.6
133,87,0,35,32,63,179,33,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.0
92,105,0,23,20,14,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.8
92,105,0,23,30,2,92,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.275418182,4.8
70,87,0,23,32,63,138,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.1
133,87,0,23,30,2,70,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,9.7
53,105,0,23,30,2,113,46,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.3
92,38,1,33,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.4
133,87,0,23,30,74,179,25,0,0,1,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.27276,1.7
133,87,0,23,5,14,179,25,0,0,1,0,0.05,0.1615,0.7885,0.0,1.0,0.0,0.83,0.17,1.629287024,18.55
92,105,0,23,30,2,63,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.9
92,105,0,23,30,2,179,17,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.3
53,105,0,35,5,14,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.7
6,13,0,35,32,14,197,0,0,0,1,0,0.05,0.12,0.83,0.0,1.0,0.0,0.85,0.15,1.607323828,15.86
87,105,0,35,25,72,179,25,0,0,14,0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.333333333,1.888929762,16.58
53,105,0,23,30,2,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,9.844444444444443
92,105,0,23,30,2,168,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.9
138,78,0,23,32,64,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.6
133,87,0,23,6,85,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.8
119,105,0,23,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.5
78,100,0,23,30,14,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.6
133,87,0,35,33,63,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.35
133,87,1,29,30,2,40,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.8
53,105,0,23,30,85,83,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.5
92,105,0,23,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.54695652173913
53,105,0,35,5,14,83,0,0,20,1,0,0.05,0.095,0.855,0.0,1.0,0.0,0.9,0.1,1.597590558,21.52
78,105,1,33,30,87,93,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.333333333,1.888929762,15.9
92,105,0,23,30,69,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.7
53,8,0,35,5,14,113,0,0,0,1,0,0.0,0.15,0.85,0.0,1.0,0.0,0.85,0.15,1.627176705,12.0
53,105,0,23,30,85,83,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.2
78,105,0,23,30,63,92,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.666666667,0.333333333,1.888929762,15.5
10,8,0,12,30,2,113,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.1
32,11,0,23,20,14,113,0,0,34,40,0,0.0,0.25,0.75,0.0,0.0,1.0,0.666666667,0.333333333,1.500266667,10.076666666666666
53,8,0,23,30,2,116,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.2
133,87,0,23,30,2,179,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.26
91,105,0,23,20,14,179,34,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,17.9
133,53,0,35,30,60,179,25,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,4.5
54,105,1,33,30,2,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.3
53,105,0,23,30,2,114,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,9.6
78,105,0,35,5,14,179,34,7,0,1,0,0.15,0.15,0.7,0.0,1.0,0.0,0.854,0.146,1.597102744,17.7
54,105,1,33,30,14,2,0,0,0,1,0,0.025,0.5,0.475,0.0,0.5,0.5,0.975,0.025,1.234413333,20.25
62,83,0,23,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.1
133,53,0,35,5,14,179,34,0,45,1,0,0.1,0.153,0.747,0.0,1.0,0.0,0.83,0.17,1.594114167,19.43
92,105,1,16,30,86,237,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.263672727,9.35
133,87,1,29,30,2,44,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.4
141,32,0,23,5,2,179,25,0,0,65,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,19.2
92,13,0,23,30,2,92,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.3
92,40,0,35,5,14,179,0,9,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,20.14
78,105,0,23,5,86,177,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,21.69
133,53,0,23,20,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.25
