ETL,ETL-2,Perovskite_deposition_procedure,Perovskite_deposition_method,Antisolvent,Precursor_solution,HTL,HTL_additive,ETL_Passivator,HTL_Passivator,Additive,Use_Cl,Cs,MA,FA,Rb,Pb,Sn,I,Br,Bandgap,PCEbest
78,105,0,23,5,14,179,25,6,0,1,0,0.049,0.0,0.931,0.02,1.0,0.0,0.98,0.02,1.536066667,22.22
28,105,0,23,5,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.3
53,105,0,23,32,2,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.0
133,61,0,23,30,75,138,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.7
10,8,0,23,30,2,242,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.8
53,105,0,23,30,85,118,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.9
53,105,0,23,30,13,113,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.9
53,105,0,23,30,75,113,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,4.1
73,105,1,29,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.4
92,40,1,33,30,14,179,25,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.95,0.05,1.513838333,17.6
6,13,0,30,30,2,138,0,0,0,21,0,0.2,0.0,0.8,0.0,1.0,0.0,0.6,0.4,1.693585119,13.87
78,105,0,23,20,14,100,0,0,0,70,0,0.125,0.14875,0.72625,0.0,1.0,0.0,0.83,0.17,1.596960152,21.33
133,87,0,35,5,15,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,18.2
53,13,0,23,32,14,113,0,0,0,1,0,0.025,0.5,0.475,0.0,0.5,0.5,1.0,0.0,1.22714,18.92
133,87,0,23,20,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,16.55
41,105,0,35,25,14,179,25,0,0,1,0,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.586252613,17.71
133,87,1,29,30,2,189,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.8
49,105,0,23,5,14,100,57,0,0,44,0,0.05,0.1615,0.7885,0.0,1.0,0.0,0.83,0.17,1.629287024,19.26
92,105,0,35,5,49,179,25,0,0,34,0,0.0,0.15,0.85,0.0,1.0,0.0,1.0,0.0,1.548303579,21.22
6,13,0,35,30,14,113,0,0,0,1,1,0.4,0.0,0.6,0.0,1.0,0.0,0.65,0.35,1.69504381,22.7
92,83,0,35,30,2,10,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.275418182,0.4
133,87,1,29,30,1,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.5
53,105,0,23,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,13.9
133,87,0,35,5,14,179,32,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,19.5
6,13,0,23,30,22,138,0,0,48,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,15.11
78,105,0,35,5,14,179,25,0,0,89,1,0.05,0.15,0.8,0.0,1.0,0.0,0.83,0.17,1.609925422,21.04
92,105,0,23,30,2,179,25,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.215555555555557
133,87,0,35,5,14,179,25,0,0,1,0,0.05,0.1615,0.7885,0.0,1.0,0.0,0.83,0.17,1.629287024,17.93
29,105,0,35,5,14,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,19.16
92,105,0,23,30,2,167,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,12.4
133,87,0,35,32,64,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.1
133,47,0,23,30,75,237,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,4.3
133,87,1,29,30,2,237,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.01923076923077
133,87,1,29,30,2,46,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,8.7
92,37,0,35,5,14,179,34,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.686142745,17.98
53,105,0,23,32,64,113,0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,14.9
133,53,0,23,20,14,179,34,0,45,1,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,16.66
133,87,1,29,30,2,60,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,11.3
53,8,0,23,30,2,83,0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,6.266666666666667
133,61,1,29,30,2,179,25,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.530113848,10.7
92,105,0,23,30,67,179,25,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.50607803,16.5
